id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,source
630000,24,other,ba,6.85,65.2,yes,5.2,poor,group study,high,easy,df2
630001,18,male,diploma,6.61,45.0,no,9.3,poor,coaching,low,easy,df2
630002,24,female,b.tech,6.6,98.5,yes,6.2,good,group study,medium,moderate,df2
630003,24,male,diploma,3.03,66.3,yes,5.7,average,mixed,medium,moderate,df2
630004,20,female,b.tech,2.03,42.4,yes,9.2,average,coaching,low,moderate,df2
630005,21,male,b.sc,6.22,55.3,yes,4.6,average,mixed,high,moderate,df2
630006,22,other,ba,3.59,91.6,yes,7.7,good,mixed,medium,moderate,df2
630007,20,male,b.sc,3.14,82.7,no,4.2,average,online videos,high,moderate,df2
630008,18,male,diploma,6.49,86.0,yes,7.3,poor,group study,high,easy,df2
630009,23,female,b.tech,7.72,95.8,yes,6.4,average,coaching,low,easy,df2
630010,22,female,ba,1.83,80.6,yes,9.0,good,online videos,high,easy,df2
630011,22,female,ba,1.62,52.1,yes,6.1,poor,online videos,high,moderate,df2
630012,20,female,b.sc,0.44,84.0,yes,6.8,average,coaching,high,moderate,df2
630013,19,other,b.tech,4.54,70.5,yes,6.2,average,self-study,medium,moderate,df2
630014,17,male,b.tech,0.38,94.4,yes,9.1,average,coaching,high,moderate,df2
630015,23,male,b.com,6.58,58.3,yes,5.4,average,self-study,low,moderate,df2
630016,18,female,bca,5.74,80.1,yes,5.6,poor,mixed,high,easy,df2
630017,19,other,bba,4.37,82.0,yes,9.1,average,coaching,medium,easy,df2
630018,22,male,b.com,5.78,69.6,yes,5.2,poor,group study,medium,moderate,df2
630019,18,other,b.sc,4.66,67.1,yes,5.7,good,coaching,medium,moderate,df2
630020,22,male,bca,3.11,97.8,yes,4.8,poor,online videos,low,moderate,df2
630021,19,male,bca,3.06,89.9,yes,9.2,average,self-study,high,moderate,df2
630022,24,female,ba,4.73,43.9,yes,6.7,poor,online videos,low,hard,df2
630023,22,other,b.tech,0.94,67.1,yes,7.9,good,mixed,low,hard,df2
630024,19,female,b.tech,1.79,82.8,yes,6.2,average,group study,high,moderate,df2
630025,18,female,b.com,1.53,91.5,yes,9.9,average,online videos,medium,moderate,df2
630026,23,other,bba,3.99,74.4,yes,5.6,poor,coaching,low,moderate,df2
630027,17,other,bba,1.69,57.4,yes,7.2,average,online videos,medium,moderate,df2
630028,22,male,b.tech,6.85,64.9,yes,5.3,good,mixed,medium,moderate,df2
630029,22,female,b.com,7.91,97.3,yes,4.5,good,coaching,medium,moderate,df2
630030,21,other,bca,7.38,84.9,yes,8.4,poor,coaching,high,moderate,df2
630031,24,other,b.com,3.41,44.2,yes,9.9,poor,coaching,medium,easy,df2
630032,23,female,b.tech,6.09,67.7,yes,9.3,good,online videos,medium,easy,df2
630033,18,other,b.com,1.78,89.2,yes,6.8,good,group study,medium,moderate,df2
630034,17,other,diploma,0.67,51.5,yes,6.2,average,coaching,high,easy,df2
630035,23,female,b.com,2.2,47.4,no,9.1,good,mixed,medium,moderate,df2
630036,23,male,diploma,1.26,74.0,yes,7.9,average,mixed,medium,moderate,df2
630037,24,other,bca,6.1,51.9,yes,9.0,poor,self-study,high,hard,df2
630038,18,male,diploma,1.8,48.9,no,6.6,poor,online videos,low,moderate,df2
630039,20,other,b.sc,1.84,58.6,yes,9.7,average,self-study,medium,easy,df2
630040,17,male,diploma,0.45,72.5,yes,6.3,average,group study,low,moderate,df2
630041,21,other,b.sc,7.91,49.1,yes,5.6,good,group study,low,easy,df2
630042,21,female,bca,3.42,54.2,yes,7.3,good,group study,high,moderate,df2
630043,20,female,bba,6.44,54.9,yes,6.4,average,group study,low,moderate,df2
